,gene,tier
1536,ZNF720,Tier2
1537,ZNHIT2,Tier2
1538,ZNHIT3,Tier2
1539,ZNHIT6,Tier2
1540,ZNRD1,Tier2
1541,ZWINT,Tier2
1542,CBWD1,Tier2
1543,CLASRP,Tier2
1544,EIF5AL1,Tier2
1545,FAM86C1,Tier2
1546,HMGB1,Tier2
1547,POTEJ,Tier2
1548,RPL29,Tier2
1549,SUMO4,Tier2
1550,YWHAZ,Tier2
1551,AARS2,Tier3
1552,ABHD11,Tier3
1553,ACLY,Tier3
1554,ACOT12,Tier3
1555,ACTR3,Tier3
1556,ADAT3,Tier3
1557,AGAP2,Tier3
1558,AGR3,Tier3
1559,AKR7A3,Tier3
1560,ANAPC15,Tier3
1561,ARHGEF5,Tier3
1562,ARL4D,Tier3
1563,ARMC10,Tier3
1564,ASAH2B,Tier3
1565,ASCC3,Tier3
1566,ASH2L,Tier3
1567,ASS1,Tier3
1568,ATL2,Tier3
1569,ATP23,Tier3
1570,ATP5F1C,Tier3
1571,ATP5MC1,Tier3
1572,ATP5MC2,Tier3
1573,ATP5PB,Tier3
1574,ATP5PD,Tier3
1575,ATP5PO,Tier3
1576,AURKAIP1,Tier3
1577,BAK1,Tier3
1578,BAP1,Tier3
1579,BCCIP,Tier3
1580,BCDIN3D,Tier3
1581,BNIP1,Tier3
1582,BRCA1,Tier3
1583,BRCA2,Tier3
1584,BRD8,Tier3
1585,BTF3,Tier3
1586,C18orf21,Tier3
1587,C1QBP,Tier3
1588,C2orf68,Tier3
1589,CA5A,Tier3
1590,CACNB3,Tier3
1591,CADM4,Tier3
1592,CAMKK2,Tier3
1593,CAMLG,Tier3
1594,CAP1,Tier3
1595,CAST,Tier3
1596,CCDC12,Tier3
1597,CCDC137,Tier3
1598,CCDC144NL,Tier3
1599,CCDC43,Tier3
1600,CCND1,Tier3
1601,CCNL1,Tier3
1602,CDC42SE1,Tier3
1603,CELSR2,Tier3
1604,CEP131,Tier3
1605,CEP85,Tier3
1606,CEP97,Tier3
1607,CFC1,Tier3
1608,CFL1,Tier3
1609,CHCHD5,Tier3
1610,CHTF8,Tier3
1611,CIT,Tier3
1612,CLK2,Tier3
1613,CNOT9,Tier3
1614,COASY,Tier3
1615,COG2,Tier3
1616,COG4,Tier3
1617,COG6,Tier3
1618,COPRS,Tier3
1619,COQ2,Tier3
1620,COX5A,Tier3
1621,COX5B,Tier3
1622,CRCT1,Tier3
1623,CTDNEP1,Tier3
1624,CUL2,Tier3
1625,CWC25,Tier3
1626,CXCL2,Tier3
1627,CYB561,Tier3
1628,CYFIP1,Tier3
1629,CYP2A13,Tier3
1630,DDN,Tier3
1631,DDX1,Tier3
1632,DDX19A,Tier3
1633,DHFR,Tier3
1634,DICER1,Tier3
1635,DLST,Tier3
1636,DNAJA1,Tier3
1637,DNAJC11,Tier3
1638,DNLZ,Tier3
1639,DNM1L,Tier3
1640,DOLK,Tier3
1641,DPF2,Tier3
1642,DPY19L2,Tier3
1643,DRAP1,Tier3
1644,DYNLL1,Tier3
1645,EEF1AKMT3,Tier3
1646,ELF2,Tier3
1647,EMC1,Tier3
1648,EXOC5,Tier3
1649,EXOC8,Tier3
1650,FAM200B,Tier3
1651,DIPK1A,Tier3
1652,FAM83A,Tier3
1653,FBLIM1,Tier3
1654,FBXW11,Tier3
1655,FDPS,Tier3
1656,FECH,Tier3
1657,FPGS,Tier3
1658,GALP,Tier3
1659,GFM1,Tier3
1660,GJA3,Tier3
1661,GLMN,Tier3
1662,GLRX5,Tier3
1663,GON4L,Tier3
1664,GSDMA,Tier3
1665,GSTM3,Tier3
1666,GTF2H2C,Tier3
1667,GTF3C3,Tier3
1668,HAPLN2,Tier3
1669,HAUS2,Tier3
1670,HEXIM1,Tier3
1671,HIGD2A,Tier3
1672,H2AC8,Tier3
1673,H2AC11,Tier3
1674,H2BC14,Tier3
1675,H2BC17,Tier3
1676,H3C3,Tier3
1677,H3C8,Tier3
1678,H3C11,Tier3
1679,H2BC21,Tier3
1680,H3-4,Tier3
1681,HRK,Tier3
1682,HS6ST1,Tier3
1683,ICE2,Tier3
1684,IFNA13,Tier3
1685,IFNL2,Tier3
1686,IL12RB1,Tier3
1687,ING3,Tier3
1688,INHBE,Tier3
1689,INO80B,Tier3
1690,JAZF1,Tier3
1691,KATNB1,Tier3
1692,KCNA10,Tier3
1693,KCNJ12,Tier3
1694,KCNJ9,Tier3
1695,KDM8,Tier3
1696,KIAA0100,Tier3
1697,KIF14,Tier3
1698,KMT5A,Tier3
1699,KRT10,Tier3
1700,KXD1,Tier3
1701,LAMTOR4,Tier3
1702,LCE1C,Tier3
1703,LCE2B,Tier3
1704,LCN8,Tier3
1705,LRPPRC,Tier3
1706,LRRC37A3,Tier3
1707,LRRC37B,Tier3
1708,LSM12,Tier3
1709,LST1,Tier3
1710,MAP1LC3B,Tier3
1711,MAPK10,Tier3
1712,MBTPS1,Tier3
1713,MEAF6,Tier3
1714,MED1,Tier3
1715,METTL17,Tier3
1716,MICOS10,Tier3
1717,MLX,Tier3
1718,MRPL14,Tier3
1719,MRPL16,Tier3
1720,MRPL24,Tier3
1721,MRPL32,Tier3
1722,MRPL35,Tier3
1723,MRPL37,Tier3
1724,MRPL39,Tier3
1725,MRPL46,Tier3
1726,MRPL58,Tier3
1727,MRPL9,Tier3
1728,MRPS15,Tier3
1729,MRPS18B,Tier3
1730,MRPS24,Tier3
1731,MRPS25,Tier3
1732,MRPS27,Tier3
1733,MRPS28,Tier3
1734,MRPS7,Tier3
1735,MRPS9,Tier3
1736,MSL1,Tier3
1737,MT1B,Tier3
1738,MT1H,Tier3
1739,MYO1H,Tier3
1740,NAF1,Tier3
1741,NASP,Tier3
1742,NCOA4,Tier3
1743,NDE1,Tier3
1744,NDUFA13,Tier3
1745,NDUFA2,Tier3
1746,NDUFA6,Tier3
1747,NDUFAF1,Tier3
1748,NDUFAF4,Tier3
1749,NDUFB10,Tier3
1750,NDUFB4,Tier3
1751,NDUFS2,Tier3
1752,NDUFS8,Tier3
1753,NELFE,Tier3
1754,NFATC2IP,Tier3
1755,NKAPD1,Tier3
1756,NOS1AP,Tier3
1757,NPB,Tier3
1758,NPBWR2,Tier3
1759,NSMCE1,Tier3
1760,NSUN4,Tier3
1761,OGDH,Tier3
1762,OLFML3,Tier3
1763,ORC5,Tier3
1764,OXA1L,Tier3
1765,PAICS,Tier3
1766,PARS2,Tier3
1767,PC,Tier3
1768,PCNP,Tier3
1769,PDCD6,Tier3
1770,PDE4DIP,Tier3
1771,PGBD3,Tier3
1772,PGGT1B,Tier3
1773,PHF12,Tier3
1774,PIFO,Tier3
1775,PIP5K1A,Tier3
1776,PLEKHM1,Tier3
1777,PNKP,Tier3
1778,POGZ,Tier3
1779,POLQ,Tier3
1780,POLR3D,Tier3
1781,POU5F1B,Tier3
1782,PPP1R14B,Tier3
1783,PRAC1,Tier3
1784,PRCC,Tier3
1785,PRDX2,Tier3
1786,PRKRA,Tier3
1787,PRKRIP1,Tier3
1788,PRPF39,Tier3
1789,PSME1,Tier3
1790,PSME3,Tier3
1791,PSTK,Tier3
1792,PYM1,Tier3
1793,RAB1B,Tier3
1794,RAB7A,Tier3
1795,RCC1L,Tier3
1796,RELA,Tier3
1797,RFC1,Tier3
1798,RLF,Tier3
1799,RNF123,Tier3
1800,RNF168,Tier3
1801,RNF212B,Tier3
1802,RNF40,Tier3
1803,RRAGA,Tier3
1804,RSAD1,Tier3
1805,RSRC2,Tier3
1806,RTEL1,Tier3
1807,SAP130,Tier3
1808,SARNP,Tier3
1809,SCAP,Tier3
1810,SCD,Tier3
1811,SCG5,Tier3
1812,SCNM1,Tier3
1813,SCYL1,Tier3
1814,SDHAF2,Tier3
1815,SEPSECS,Tier3
1816,SERINC4,Tier3
1817,SLC22A25,Tier3
1818,SLC25A41,Tier3
1819,SLC35E2A,Tier3
1820,SLC39A10,Tier3
1821,SMG7,Tier3
1822,SMIM3,Tier3
1823,SMUG1,Tier3
1824,SPAG5,Tier3
1825,SPDYC,Tier3
1826,SPRR2G,Tier3
1827,SPTLC1,Tier3
1828,SRRM2,Tier3
1829,SSBP3,Tier3
1830,STARD7,Tier3
1831,STAT5A,Tier3
1832,SUDS3,Tier3
1833,SUPT4H1,Tier3
1834,SVBP,Tier3
1835,SYVN1,Tier3
1836,TACC3,Tier3
1837,TAF13,Tier3
1838,TBC1D28,Tier3
1839,TCERG1,Tier3
1840,TCF7,Tier3
1841,TEFM,Tier3
1842,TIMM22,Tier3
1843,TLCD1,Tier3
1844,TLK2,Tier3
1845,TMEM183A,Tier3
1846,TNFRSF8,Tier3
1847,TNNT2,Tier3
1848,TOR2A,Tier3
1849,TRMT10C,Tier3
1850,TRPM7,Tier3
1851,TSFM,Tier3
1852,TUBA3D,Tier3
1853,TUBE1,Tier3
1854,TUBG2,Tier3
1855,TVP23C,Tier3
1856,TWNK,Tier3
1857,UBE2Z,Tier3
1858,UNC50,Tier3
1859,UQCR11,Tier3
1860,UQCRC1,Tier3
1861,UQCRC2,Tier3
1862,UROD,Tier3
1863,USE1,Tier3
1864,VARS2,Tier3
1865,VCL,Tier3
1866,VPS37A,Tier3
1867,VPS52,Tier3
1868,WARS2,Tier3
1869,WASHC2A,Tier3
1870,WDR24,Tier3
1871,WDR48,Tier3
1872,WDR76,Tier3
1873,WDR83,Tier3
1874,WDTC1,Tier3
1875,XPOT,Tier3
1876,YBX3,Tier3
1877,ZC3H13,Tier3
1878,ZFC3H1,Tier3
1879,ZNF141,Tier3
1880,ZNF593,Tier3
1881,ZNF676,Tier3
1882,ZNF730,Tier3
1883,ZNF763,Tier3
1884,ABHD17A,Tier3
1885,ADAM33,Tier3
1886,ARHGAP11A,Tier3
1887,ARPP19,Tier3
1888,ATP5MGL,Tier3
1889,BRAT1,Tier3
1890,BRD7,Tier3
1891,BTF3L4,Tier3
1892,BTNL8,Tier3
1893,C16orf87,Tier3
1894,C17orf49,Tier3
1895,C4orf46,Tier3
1896,CACNG6,Tier3
1897,CD276,Tier3
1898,CD2BP2,Tier3
1899,CDK5,Tier3
1900,CFDP1,Tier3
1901,CHCHD2,Tier3
1902,CIAO2A,Tier3
1903,CKS2,Tier3
1904,CLEC12A,Tier3
1905,CMC1,Tier3
1906,COX20,Tier3
1907,CRYGD,Tier3
1908,CTU1,Tier3
1909,CXXC1,Tier3
1910,DCAF6,Tier3
1911,EEF1AKMT2,Tier3
1912,EEF1D,Tier3
1913,EHMT2,Tier3
1914,FAAP20,Tier3
1915,FAM222B,Tier3
1916,FAM25A,Tier3
1917,FAM91A1,Tier3
1918,GGTLC1,Tier3
1919,GTF2IRD2,Tier3
1920,HNRNPA1L2,Tier3
1921,HSD3B1,Tier3
1922,IL11,Tier3
1923,INTS10,Tier3
1924,LCN15,Tier3
1925,LGALS16,Tier3
1926,LIAS,Tier3
1927,LTB4R,Tier3
1928,LYRM7,Tier3
1929,MCEE,Tier3
1930,MRE11,Tier3
1931,MS4A15,Tier3
1932,MYBL2,Tier3
1933,MYH3,Tier3
1934,MYL12A,Tier3
1935,NANOG,Tier3
1936,NR0B2,Tier3
1937,NSMCE4A,Tier3
1938,OSBPL1A,Tier3
1939,PARL,Tier3
1940,PDCD6IP,Tier3
1941,PDCL,Tier3
1942,PIK3R4,Tier3
1943,PLA2G12A,Tier3
1944,POU5F1,Tier3
1945,PTBP1,Tier3
1946,PTTG1,Tier3
1947,RANBP1,Tier3
1948,RBP3,Tier3
1949,RNF214,Tier3
1950,RPL26L1,Tier3
1951,SCAF1,Tier3
1952,SH3BP5L,Tier3
1953,SINHCAF,Tier3
1954,SKA2,Tier3
1955,SLC16A12,Tier3
1956,SLC25A38,Tier3
1957,STN1,Tier3
1958,TAP1,Tier3
1959,TBC1D10A,Tier3
1960,TEAD3,Tier3
1961,TIGIT,Tier3
1962,TPD52L2,Tier3
1963,TRAPPC13,Tier3
1964,TRIM49D1,Tier3
1965,TRIM61,Tier3
1966,UBE2S,Tier3
1967,UBE2V1,Tier3
1968,UFC1,Tier3
1969,UNC13B,Tier3
1970,USP6,Tier3
1971,VTI1B,Tier3
1972,ZNF236,Tier3
1973,ZNF285,Tier3
1974,ZNF549,Tier3
1975,ZNF780B,Tier3
1976,LLPH,Tier3
1977,TMA7,Tier3
